fbref_date,fbref_time,fbref_comp,fbref_round,fbref_day,fbref_hometeam,fbref_awayteam,fbref_score_fixtures_hometeam_result,fbref_score_fixtures_hometeam_gf,fbref_score_fixtures_hometeam_ga,fbref_score_fixtures_hometeam_poss,fbref_score_fixtures_hometeam_attendance,fbref_score_fixtures_hometeam_captain,fbref_referee,fbref_score_fixtures_awayteam_result,fbref_score_fixtures_awayteam_gf,fbref_score_fixtures_awayteam_ga,fbref_score_fixtures_awayteam_poss,fbref_score_fixtures_awayteam_attendance,fbref_score_fixtures_awayteam_captain,fbref_score_fixtures_awayteam_formation,fbref_score_fixtures_hometeam_formation,fbref_shooting_hometeam_result,fbref_shooting_hometeam_gf,fbref_shooting_hometeam_ga,fbref_shooting_hometeam_gls,fbref_shooting_hometeam_sh,fbref_shooting_hometeam_sot,fbref_shooting_hometeam_sot_percentage,fbref_shooting_hometeam_gsh,fbref_shooting_hometeam_gsot,fbref_shooting_hometeam_pk,fbref_shooting_hometeam_pkatt,fbref_shooting_awayteam_result,fbref_shooting_awayteam_gf,fbref_shooting_awayteam_ga,fbref_shooting_awayteam_gls,fbref_shooting_awayteam_sh,fbref_shooting_awayteam_sot,fbref_shooting_awayteam_sot_percentage,fbref_shooting_awayteam_gsh,fbref_shooting_awayteam_gsot,fbref_shooting_awayteam_pk,fbref_shooting_awayteam_pkatt,fbref_goalkeeping_hometeam_result,fbref_goalkeeping_hometeam_gf,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_ga,fbref_goalkeeping_hometeam_saves,fbref_goalkeeping_hometeam_save_percentage,fbref_goalkeeping_hometeam_pkatt,fbref_goalkeeping_hometeam_pka,fbref_goalkeeping_hometeam_pksv,fbref_goalkeeping_hometeam_pkm,fbref_goalkeeping_awayteam_result,fbref_goalkeeping_awayteam_gf,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_ga,fbref_goalkeeping_awayteam_sota,fbref_goalkeeping_awayteam_saves,fbref_goalkeeping_awayteam_save_percentage,fbref_goalkeeping_awayteam_pkatt,fbref_goalkeeping_awayteam_pka,fbref_goalkeeping_awayteam_pksv,fbref_goalkeeping_awayteam_pkm,fbref_full_season_format,fbref_shortened_season
2019-12-01,15:00,Premiership,Regular season,Sun,Rangers,Hearts,W,5.0,0.0,65.0,49811.0,James Tavernier,Don Robertson,L,0.0,5.0,35.0,49811.0,Christophe Berra,5-3-2,4-3-3,W,5.0,0.0,4,13.0,6.0,46.2,0.31,0.67,0,0,L,0.0,5.0,0,2.0,1.0,50.0,0.0,0.0,0,0,W,5.0,0.0,0,0.0,0,1.0,100.0,0,0,0,0,L,0.0,5.0,5,5.0,5,7.0,2.0,28.6,0,0,0,0,2019/2020,19/20
2019-12-26,15:00,Premiership,Regular season,Thu,Rangers,Kilmarnock,W,1.0,0.0,50.0,49885.0,James Tavernier,Steven McLean,L,0.0,1.0,50.0,49885.0,Gary Dicker,4-3-3,4-3-3,W,1.0,0.0,1,19.0,7.0,36.8,0.05,0.14,0,0,L,0.0,1.0,0,3.0,2.0,66.7,0.0,0.0,0,0,W,1.0,0.0,0,0.0,0,2.0,100.0,0,0,0,0,L,0.0,1.0,1,1.0,1,7.0,6.0,85.7,0,0,0,0,2019/2020,19/20
2020-01-22,19:45,Premiership,Regular season,Wed,Rangers,St Mirren,W,1.0,0.0,63.0,49297.0,Connor Goldson,Nick Walsh,L,0.0,1.0,37.0,49297.0,Kyle Magennis,5-4-1,4-3-3,W,1.0,0.0,1,17.0,5.0,29.4,0.06,0.2,0,0,L,0.0,1.0,0,1.0,0.0,0.0,0.0,,0,0,W,1.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,1.0,1,1.0,1,5.0,4.0,80.0,0,0,0,0,2019/2020,19/20
2020-01-29,19:45,Premiership,Regular season,Wed,Rangers,Ross County,W,2.0,0.0,62.0,47583.0,Connor Goldson,Don Robertson,L,0.0,2.0,38.0,47583.0,Marcus Fraser,4-5-1,4-3-3,W,2.0,0.0,2,13.0,4.0,30.8,0.15,0.5,0,0,L,0.0,2.0,0,2.0,0.0,0.0,0.0,,0,0,W,2.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,2.0,2,2.0,2,4.0,2.0,50.0,0,0,0,0,2019/2020,19/20
2020-02-01,15:00,Premiership,Regular season,Sat,Rangers,Aberdeen,D,0.0,0.0,53.0,50012.0,Connor Goldson,Andrew Dallas,D,0.0,0.0,47.0,50012.0,Joe Lewis,4-2-3-1,4-3-3,D,0.0,0.0,0,16.0,5.0,31.3,0.0,0.0,0,0,D,0.0,0.0,0,4.0,2.0,50.0,0.0,0.0,0,0,D,0.0,0.0,0,0.0,0,2.0,100.0,0,0,0,0,D,0.0,0.0,0,0.0,0,5.0,5.0,100.0,0,0,0,0,2019/2020,19/20
2020-02-05,19:45,Premiership,Regular season,Wed,Rangers,Hibernian,W,2.0,1.0,68.0,49427.0,James Tavernier,Bobby Madden,L,1.0,2.0,32.0,49427.0,Paul Hanlon,4-2-3-1,4-3-3,W,2.0,1.0,2,16.0,7.0,43.8,0.13,0.29,0,0,L,1.0,2.0,1,5.0,4.0,80.0,0.2,0.25,0,0,W,2.0,1.0,1,1.0,1,3.0,75.0,0,0,0,0,L,1.0,2.0,2,2.0,2,7.0,5.0,71.4,0,0,0,0,2019/2020,19/20
2020-02-16,15:00,Premiership,Regular season,Sun,Rangers,Livingston,W,1.0,0.0,,48302.0,James Tavernier,Euan Anderson,L,0.0,1.0,,48302.0,Keaghan Jacobs,3-5-1-1,4-3-3,W,1.0,0.0,1,0.0,0.0,,,,0,0,L,0.0,1.0,0,0.0,0.0,,,,0,0,W,1.0,0.0,0,0.0,0,0.0,,0,0,0,0,L,0.0,1.0,1,1.0,1,0.0,0.0,,0,0,0,0,2019/2020,19/20
2020-03-04,19:45,Premiership,Regular season,Wed,Rangers,Hamilton,L,0.0,1.0,69.0,48167.0,James Tavernier,Nick Walsh,W,1.0,0.0,31.0,48167.0,Aaron McGowan,4-1-3-2,4-3-3,L,0.0,1.0,0,31.0,9.0,29.0,0.0,0.0,0,0,W,1.0,0.0,1,8.0,3.0,37.5,0.13,0.33,0,0,L,0.0,1.0,1,1.0,1,2.0,66.7,0,0,0,0,W,1.0,0.0,0,0.0,0,9.0,9.0,100.0,0,0,0,0,2019/2020,19/20
2019-08-10,12:00,Premiership,Regular season,Sat,Motherwell,Celtic,L,2.0,5.0,51.0,8822.0,Richard Tait,Nick Walsh,W,5.0,2.0,49.0,8822.0,Scott Brown,4-2-3-1,4-3-3,L,2.0,5.0,2,2.0,0.0,0.0,1.0,,0,0,W,5.0,2.0,5,0.0,0.0,,,,1,1,L,2.0,5.0,5,5.0,5,0.0,0.0,1,1,0,0,W,5.0,2.0,2,2.0,2,0.0,0.0,,0,0,0,0,2019/2020,19/20
2019-08-31,15:00,Premiership,Regular season,Sat,Motherwell,Hibernian,W,3.0,0.0,44.0,5964.0,Peter Hartley,Steven McLean,L,0.0,3.0,56.0,5964.0,Paul Hanlon,4-4-1-1,4-4-2,W,3.0,0.0,3,15.0,9.0,60.0,0.13,0.22,1,1,L,0.0,3.0,0,8.0,5.0,62.5,0.0,0.0,0,0,W,3.0,0.0,0,0.0,0,5.0,100.0,0,0,0,0,L,0.0,3.0,3,3.0,3,8.0,6.0,75.0,1,1,0,0,2019/2020,19/20
