football_data_Date,football_data_Time,football_data_HomeTeam,football_data_AwayTeam,football_data_FTHG,football_data_FTAG,football_data_FTR,football_data_HTHG,football_data_HTAG,football_data_HTR,football_data_Referee,football_data_HS,football_data_AS,football_data_HST,football_data_AST,football_data_HF,football_data_AF,football_data_HC,football_data_AC,football_data_HY,football_data_AY,football_data_HR,football_data_AR,football_data_B365H,football_data_B365D,football_data_B365A,football_data_BWH,football_data_BWD,football_data_BWA,football_data_tournament_season
2023-09-30,12:30,Motherwell,Celtic,1.0,2.0,A,0.0,0.0,D,W Collum,10.0,24.0,4.0,6.0,12.0,11.0,4.0,6.0,3.0,1.0,0.0,0.0,9.5,5.5,1.3,9.5,5.5,1.29,23/24
2023-09-30,15:00,Hibernian,Dundee,0.0,0.0,D,0.0,0.0,D,J Beaton,23.0,11.0,9.0,2.0,7.0,10.0,14.0,1.0,1.0,4.0,0.0,0.0,1.73,3.75,4.75,1.75,3.8,4.2,23/24
2023-09-30,15:00,Kilmarnock,St Mirren,1.0,1.0,D,1.0,1.0,D,C Graham,12.0,8.0,2.0,3.0,15.0,16.0,7.0,6.0,2.0,3.0,0.0,0.0,2.3,3.25,3.1,2.35,3.25,2.95,23/24
2023-09-30,15:00,Rangers,Aberdeen,1.0,3.0,A,0.0,1.0,A,S McLean,18.0,14.0,5.0,6.0,18.0,4.0,5.0,8.0,2.0,1.0,1.0,0.0,1.29,5.25,10.0,1.27,6.0,9.5,23/24
2023-09-30,15:00,Ross County,Hearts,0.0,1.0,A,0.0,0.0,D,D Dickinson,9.0,17.0,1.0,3.0,15.0,10.0,5.0,5.0,3.0,2.0,0.0,0.0,3.25,3.5,2.2,3.0,3.5,2.2,23/24
2023-09-30,15:00,St Johnstone,Livingston,1.0,1.0,D,1.0,0.0,H,G Grainger,12.0,7.0,2.0,3.0,14.0,14.0,5.0,2.0,2.0,2.0,1.0,0.0,2.5,3.3,2.88,2.5,3.1,2.8,23/24
2023-10-07,15:00,Celtic,Kilmarnock,3.0,1.0,H,2.0,0.0,H,M MacDermid,27.0,6.0,12.0,1.0,9.0,7.0,11.0,1.0,2.0,2.0,0.0,0.0,1.18,7.5,13.0,1.2,6.75,12.5,23/24
2023-10-07,15:00,Hearts,Hibernian,2.0,2.0,D,1.0,0.0,H,W Collum,21.0,17.0,5.0,3.0,12.0,9.0,7.0,4.0,2.0,1.0,0.0,0.0,2.25,3.5,3.1,2.25,3.4,2.95,23/24
2023-10-07,15:00,Livingston,Motherwell,2.0,0.0,H,0.0,0.0,D,D Robertson,11.0,3.0,3.0,2.0,12.0,15.0,3.0,5.0,1.0,3.0,0.0,1.0,2.8,3.2,2.63,2.7,3.2,2.55,23/24
2023-10-08,12:00,St Mirren,Rangers,0.0,3.0,A,0.0,1.0,A,N Walsh,3.0,13.0,0.0,8.0,8.0,16.0,3.0,10.0,1.0,2.0,1.0,0.0,6.0,4.5,1.5,6.0,4.4,1.47,23/24
